Formatted Date,Time,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Humidity,Month,Day,Year
9/25/2007,00:00.0,Partly Cloudy,rain,23.96111111,23.96111111,4.6529,123,9.982,1012.53,0.29,9,25,2007
9/25/2007,00:00.0,Partly Cloudy,rain,23.83333333,23.83333333,5.635,208,10.3523,1012.34,0.3,9,25,2007
9/25/2007,00:00.0,Partly Cloudy,rain,22.58888889,22.58888889,0.5152,20,9.982,1012.13,0.35,9,25,2007
9/25/2007,00:00.0,Partly Cloudy,rain,17.10555556,17.10555556,11.27,350,9.982,1012.33,0.53,9,25,2007
9/25/2007,00:00.0,Partly Cloudy,rain,15.02777778,15.02777778,4.4758,67,9.982,1012.67,0.61,9,25,2007
9/25/2007,00:00.0,Partly Cloudy,rain,12.71111111,12.71111111,6.44,0,9.982,1012.84,0.7,9,25,2007
9/25/2007,00:00.0,Partly Cloudy,rain,12.64444444,12.64444444,6.44,0,15.8263,1012.85,0.73,9,25,2007
9/25/2007,00:00.0,Partly Cloudy,rain,11.14444444,11.14444444,3.3649,336,14.5866,1013.26,0.76,9,25,2007
9/26/2007,00:00.0,Partly Cloudy,rain,10.51666667,10.51666667,6.9874,340,15.8263,1013.15,0.77,9,26,2007
9/26/2007,00:00.0,Partly Cloudy,rain,8.916666667,6.661111111,14.49,0,15.8263,1013.24,0.75,9,26,2007
9/26/2007,00:00.0,Partly Cloudy,rain,13.17777778,13.17777778,9.2897,69,11.1734,1010.39,0.81,9,26,2007
9/26/2007,00:00.0,Partly Cloudy,rain,7.805555556,6.688888889,6.9874,350,9.982,1013.14,0.86,9,26,2007
9/26/2007,00:00.0,Partly Cloudy,rain,7.405555556,7.405555556,4.6529,348,9.982,1012.72,0.83,9,26,2007
9/26/2007,00:00.0,Mostly Cloudy,rain,8.583333333,8.583333333,3.1234,344,11.2539,1012.74,0.87,9,26,2007
9/26/2007,00:00.0,Mostly Cloudy,rain,7.888888889,6.694444444,7.3577,346,7.9695,1012.73,0.84,9,26,2007
9/26/2007,00:00.0,Mostly Cloudy,rain,7.355555556,7.355555556,0.6601,359,6.118,1012.92,0.8,9,26,2007
9/26/2007,00:00.0,Overcast,rain,10.08888889,10.08888889,7.5992,52,7.5509,1013.01,0.84,9,26,2007
9/26/2007,00:00.0,Overcast,rain,12.2,12.2,4.1055,127,9.9015,1012.86,0.75,9,26,2007
9/26/2007,00:00.0,Overcast,rain,12.82777778,12.82777778,4.6368,146,9.9015,1013.03,0.73,9,26,2007
9/26/2007,00:00.0,Overcast,rain,13.95555556,13.95555556,4.7173,170,11.0285,1013.12,0.74,9,26,2007
9/26/2007,00:00.0,Overcast,rain,16.11666667,16.11666667,9.0965,108,9.982,1012.6,0.62,9,26,2007
9/26/2007,00:00.0,Overcast,rain,17.13333333,17.13333333,10.2718,138,9.982,1012.03,0.59,9,26,2007
9/26/2007,00:00.0,Overcast,rain,16.98333333,16.98333333,8.1466,90,9.9015,1011.77,0.61,9,26,2007
9/26/2007,00:00.0,Overcast,rain,17.17777778,17.17777778,10.6743,117,11.1251,1011.3,0.63,9,26,2007
9/26/2007,00:00.0,Overcast,rain,16.20555556,16.20555556,10.6099,138,11.1251,1011,0.72,9,26,2007
9/26/2007,00:00.0,Overcast,rain,15.36666667,15.36666667,13.6045,138,7.9856,1011.16,0.81,9,26,2007
9/26/2007,00:00.0,Mostly Cloudy,rain,15.18333333,15.18333333,12.6546,130,8.05,1010.96,0.77,9,26,2007
9/26/2007,00:00.0,Overcast,rain,14.05,14.05,11.0929,120,8.05,1010.85,0.82,9,26,2007
9/26/2007,00:00.0,Overcast,rain,14.08888889,14.08888889,9.177,113,8.3398,1011.11,0.84,9,26,2007
9/26/2007,00:00.0,Overcast,rain,13.88888889,13.88888889,9.5634,72,10.9802,1010.92,0.83,9,26,2007
9/26/2007,00:00.0,Overcast,rain,14.4,14.4,6.2951,89,9.8049,1011.02,0.78,9,26,2007
9/26/2007,00:00.0,Overcast,rain,14.40555556,14.40555556,10.787,78,9.8371,1010.98,0.82,9,26,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,14.4,14.4,11.0124,78,14.7315,1010.4,0.78,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,14.37777778,14.37777778,11.0607,79,14.7315,1009.81,0.78,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,14.21111111,14.21111111,13.2503,112,11.5276,1010.38,0.85,9,27,2007
9/27/2007,00:00.0,Partly Cloudy,rain,13.28888889,13.28888889,14.0231,70,7.9695,1009.12,0.83,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,13.71111111,13.71111111,14.4578,79,6.118,1008.82,0.81,9,27,2007
9/27/2007,00:00.0,Partly Cloudy,rain,13.17777778,13.17777778,13.4274,70,6.6976,1008.47,0.85,9,27,2007
9/27/2007,00:00.0,Partly Cloudy,rain,12.76666667,12.76666667,12.4131,108,5.0393,1008.52,0.9,9,27,2007
9/27/2007,00:00.0,Partly Cloudy,rain,13.78333333,13.78333333,13.9748,118,7.9051,1008.49,0.83,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,14.73333333,14.73333333,16.261,126,9.016,1008.5,0.8,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,17.64444444,17.64444444,20.3826,139,9.982,1008.19,0.73,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,19.88888889,19.88888889,17.388,148,9.982,1008.27,0.64,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,21.92777778,21.92777778,25.9049,157,10.3523,1008.36,0.6,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,22.55,22.55,26.0498,160,9.982,1008.03,0.54,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,22.55555556,22.55555556,22.8942,179,11.27,1008.27,0.55,9,27,2007
9/27/2007,00:00.0,Partly Cloudy,rain,20.97777778,20.97777778,13.4596,253,11.4471,1009.08,0.65,9,27,2007
9/27/2007,00:00.0,Overcast,rain,17.73888889,17.73888889,11.0446,259,6.118,1009.56,0.84,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,17.6,17.6,4.1377,147,11.0446,1010.33,0.84,9,27,2007
9/27/2007,00:00.0,Overcast,rain,16.97222222,16.97222222,8.2271,301,11.2378,1010.36,0.83,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,15.99444444,15.99444444,9.2253,340,11.1251,1010.78,0.81,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,14.93333333,14.93333333,8.05,60,6.1985,1010.98,0.87,9,27,2007
9/27/2007,00:00.0,Partly Cloudy,rain,14.81666667,14.81666667,12.4614,72,7.6475,1011.13,0.88,9,27,2007
9/27/2007,00:00.0,Partly Cloudy,rain,14.81666667,14.81666667,9.016,99,7.7119,1011.2,0.88,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,15.32777778,15.32777778,13.5401,120,7.6958,1011.49,0.85,9,27,2007
9/27/2007,00:00.0,Mostly Cloudy,rain,14.35,14.35,13.2986,108,9.6117,1011.4,0.91,9,27,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,14.38333333,14.38333333,10.9641,118,7.8729,1011.21,0.9,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,13.89444444,13.89444444,6.0858,134,7.9695,1011.17,0.86,9,28,2007
9/28/2007,00:00.0,Foggy,rain,11.2,11.2,11.0124,108,2.0608,1017.24,0.9,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,14.28333333,14.28333333,16.744,128,14.7315,1009.9,0.88,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,14.82222222,14.82222222,20.5597,119,15.6492,1008.99,0.84,9,28,2007
9/28/2007,00:00.0,Partly Cloudy,rain,14.33333333,14.33333333,16.2127,135,14.7959,1009.23,0.85,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,14.90555556,14.90555556,23.0713,139,9.8049,1008.47,0.84,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,16.01666667,16.01666667,23.4899,130,11.0446,1008.19,0.79,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,17.14444444,17.14444444,23.8441,132,9.9015,1008.51,0.77,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,17.15555556,17.15555556,23.6831,150,9.9015,1007.38,0.76,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,18.81666667,18.81666667,24.6008,160,11.1251,1008.47,0.74,9,28,2007
9/28/2007,00:00.0,Overcast,rain,19.92777778,19.92777778,25.0033,173,11.592,1008.43,0.69,9,28,2007
9/28/2007,00:00.0,Breezy and Overcast,rain,17.6,17.6,36.1606,192,11.1251,1010.3,0.78,9,28,2007
9/28/2007,00:00.0,Overcast,rain,16.99444444,16.99444444,13.8621,239,11.27,1011.19,0.81,9,28,2007
9/28/2007,00:00.0,Overcast,rain,15.14444444,15.14444444,8.4686,195,11.0768,1012.22,0.87,9,28,2007
9/28/2007,00:00.0,Mostly Cloudy,rain,15.75555556,15.75555556,6.923,167,15.8746,1012.41,0.85,9,28,2007
9/28/2007,00:00.0,Partly Cloudy,rain,17.88888889,17.88888889,12.7673,204,11.27,1011.94,0.77,9,28,2007
9/28/2007,00:00.0,Partly Cloudy,rain,18.90555556,18.90555556,13.9426,178,11.4471,1011.91,0.74,9,28,2007
9/28/2007,00:00.0,Partly Cloudy,rain,17.31111111,17.31111111,5.1681,149,11.2056,1012.37,0.8,9,28,2007
9/28/2007,00:00.0,Partly Cloudy,rain,15.13888889,15.13888889,1.9964,103,9.982,1013.28,0.86,9,28,2007
9/28/2007,00:00.0,Partly Cloudy,rain,14.98333333,14.98333333,4.4436,131,9.4507,1014.22,0.88,9,28,2007
9/28/2007,00:00.0,Clear,rain,13.88888889,13.88888889,3.5903,173,4.2021,1014.79,0.9,9,28,2007
9/28/2007,00:00.0,Foggy,rain,12.80555556,12.80555556,3.4937,167,0.483,1015.48,0.93,9,28,2007
9/28/2007,00:00.0,Foggy,rain,12.33333333,12.33333333,3.3971,134,1.4812,1016.21,0.91,9,28,2007
9/29/2007,00:00.0,Foggy,rain,11.62222222,11.62222222,7.1323,172,0.322,1016.99,0.93,9,29,2007
9/29/2007,00:00.0,Foggy,rain,11.60555556,11.60555556,7.1323,172,0.4347,1017.89,0.93,9,29,2007
9/29/2007,00:00.0,Clear,rain,9.65,9.65,1.8032,234,5.8282,1022.87,0.88,9,29,2007
9/29/2007,00:00.0,Foggy,rain,9.4,9.4,1.5295,130,2.2057,1019,0.89,9,29,2007
9/29/2007,00:00.0,Foggy,rain,8.472222222,8.472222222,4.7656,159,2.2057,1019.57,0.93,9,29,2007
9/29/2007,00:00.0,Foggy,rain,8.594444444,8.594444444,3.1717,161,1.0465,1019.93,0.93,9,29,2007
9/29/2007,00:00.0,Foggy,rain,7.316666667,7.316666667,3.4615,134,0.4347,1020.08,0.93,9,29,2007
9/29/2007,00:00.0,Foggy,rain,8.822222222,7.35,9.4024,151,0.5152,1020.4,0.93,9,29,2007
9/29/2007,00:00.0,Foggy,rain,9.272222222,8.361111111,7.1162,182,0.5635,1021.28,0.93,9,29,2007
9/29/2007,00:00.0,Foggy,rain,12.45555556,12.45555556,1.8515,174,0.7567,1021.93,0.85,9,29,2007
